x (StressScore),x - mean,(x - mean)^2
27.0,3.1999999999999993,10.239999999999995
37.0,13.2,174.23999999999998
16.0,-7.800000000000001,60.84000000000001
23.0,-0.8000000000000007,0.6400000000000011
25.0,1.1999999999999993,1.4399999999999984
29.0,5.199999999999999,27.039999999999992
23.0,-0.8000000000000007,0.6400000000000011
24.0,0.1999999999999993,0.039999999999999716
23.0,-0.8000000000000007,0.6400000000000011
28.0,4.199999999999999,17.639999999999993
16.0,-7.800000000000001,60.84000000000001
40.0,16.2,262.44
10.0,-13.8,190.44000000000003
11.0,-12.8,163.84000000000003
28.0,4.199999999999999,17.639999999999993
16.0,-7.800000000000001,60.84000000000001
10.0,-13.8,190.44000000000003
25.0,1.1999999999999993,1.4399999999999984
31.0,7.199999999999999,51.83999999999999
36.0,12.2,148.83999999999997
18.0,-5.800000000000001,33.64000000000001
25.0,1.1999999999999993,1.4399999999999984
30.0,6.199999999999999,38.43999999999999
34.0,10.2,104.03999999999999
15.0,-8.8,77.44000000000001
26.0,2.1999999999999993,4.839999999999997
30.0,6.199999999999999,38.43999999999999
12.0,-11.8,139.24
26.0,2.1999999999999993,4.839999999999997
17.0,-6.800000000000001,46.24000000000001
30.0,6.199999999999999,38.43999999999999
36.0,12.2,148.83999999999997
17.0,-6.800000000000001,46.24000000000001
31.0,7.199999999999999,51.83999999999999
21.0,-2.8000000000000007,7.840000000000004
31.0,7.199999999999999,51.83999999999999
13.0,-10.8,116.64000000000001
21.0,-2.8000000000000007,7.840000000000004
24.0,0.1999999999999993,0.039999999999999716
10.0,-13.8,190.44000000000003
21.0,-2.8000000000000007,7.840000000000004
39.0,15.2,231.04
20.0,-3.8000000000000007,14.440000000000005
28.0,4.199999999999999,17.639999999999993
25.0,1.1999999999999993,1.4399999999999984
21.0,-2.8000000000000007,7.840000000000004
24.0,0.1999999999999993,0.039999999999999716
30.0,6.199999999999999,38.43999999999999
24.0,0.1999999999999993,0.039999999999999716
13.0,-10.8,116.64000000000001
